cluster1,cluster2,distance,sample_count
553.0,614.0,2.2460350261712057,6.0
500.0,532.0,2.2860220784544856,5.0
535.0,571.0,2.3017626588248588,9.0
541.0,628.0,2.3661108783304607,12.0
536.0,634.0,2.395981397532892,10.0
444.0,620.0,2.4052236884593854,6.0
552.0,604.0,2.4351221005962844,8.0
563.0,600.0,2.4366381126248067,6.0
280.0,454.0,2.470459876204666,4.0
178.0,602.0,2.4820832810901186,5.0
567.0,579.0,2.4906645134593215,4.0
588.0,630.0,2.5183785535948857,5.0
549.0,560.0,2.533078546649148,11.0
367.0,573.0,2.548650337656658,3.0
577.0,589.0,2.5678393196416507,7.0
591.0,619.0,2.5687639214438898,10.0
314.0,332.0,2.59504590823654,2.0
587.0,633.0,2.601404586890209,16.0
545.0,613.0,2.6137033359787147,7.0
324.0,578.0,2.6196981393185026,3.0
322.0,334.0,2.629086188118256,2.0
48.0,617.0,2.650727381564048,5.0
595.0,625.0,2.6949000651933113,8.0
517.0,592.0,2.7109455135683924,11.0
107.0,160.0,2.723881680946494,2.0
502.0,603.0,2.7673180093278233,7.0
503.0,556.0,2.7766029711598823,5.0
569.0,612.0,2.842984226204007,18.0
631.0,643.0,2.972321033047227,15.0
626.0,646.0,3.0032450841379146,10.0
544.0,661.0,3.00426087664788,17.0
564.0,653.0,3.0243474633340757,15.0
582.0,590.0,3.0678215824905606,15.0
618.0,622.0,3.076148186668751,10.0
575.0,607.0,3.088194241853332,11.0
641.0,665.0,3.0920132458853247,30.0
574.0,642.0,3.119198456974764,12.0
623.0,656.0,3.1208663188571655,15.0
606.0,637.0,3.1322475029976244,11.0
608.0,666.0,3.189173779761595,19.0
627.0,639.0,3.271028426565342,12.0
175.0,647.0,3.280284658400866,6.0
243.0,674.0,3.3234408016793076,13.0
610.0,621.0,3.359408538011183,6.0
598.0,599.0,3.4334128528586607,10.0
638.0,654.0,3.5364038407910945,8.0
542.0,635.0,3.5905582745483877,7.0
16.0,644.0,3.6057361559288514,9.0
636.0,671.0,3.606840295929804,16.0
328.0,586.0,3.776010721172535,3.0
615.0,669.0,3.8034663177588475,20.0
609.0,650.0,3.8130025165291768,19.0
267.0,277.0,3.9414694081658608,2.0
632.0,648.0,3.9539062200785327,8.0
629.0,640.0,3.974682439561018,16.0
204.0,624.0,3.97970534472548,6.0
616.0,645.0,3.9932823123250896,9.0
49.0,679.0,4.147688380827804,7.0
652.0,673.0,4.170575563879263,37.0
663.0,685.0,4.195004577184806,16.0
562.0,658.0,4.228968998221268,5.0
659.0,694.0,4.300666733846549,14.0
313.0,664.0,4.316379923797378,6.0
667.0,689.0,4.9126880224144065,29.0
672.0,676.0,4.96063671015417,22.0
682.0,696.0,5.082323947112292,47.0
675.0,678.0,5.093370205317591,27.0
655.0,670.0,5.1250812777701995,31.0
649.0,662.0,5.181899876740101,7.0
677.0,700.0,5.217654237908763,25.0
657.0,688.0,5.330707294060872,23.0
683.0,687.0,5.3480823825467,11.0
651.0,686.0,5.383129270345255,19.0
695.0,708.0,5.8032824484645475,30.0
684.0,692.0,5.804785434322034,23.0
691.0,693.0,6.068203760458304,14.0
680.0,705.0,6.075027455934581,44.0
660.0,701.0,6.2983078441533,37.0
668.0,702.0,6.716163337820612,39.0
319.0,326.0,7.130377498788426,2.0
710.0,713.0,7.419648984692326,33.0
681.0,704.0,7.42989764605154,33.0
703.0,712.0,7.5206074000676875,70.0
707.0,719.0,7.7526660793079625,58.0
698.0,709.0,7.807211068888424,16.0
714.0,715.0,7.990853829018137,81.0
697.0,720.0,8.903403660270731,86.0
699.0,724.0,9.147196050379552,100.0
690.0,716.0,9.205662223734413,41.0
718.0,722.0,10.769011203090718,49.0
711.0,725.0,10.926604471020909,130.0
717.0,727.0,12.727408075505716,51.0
706.0,723.0,15.253589899525691,88.0
721.0,730.0,16.620888965364706,146.0
726.0,731.0,20.61308414509285,187.0
728.0,729.0,23.31998276760442,181.0
732.0,733.0,32.511624911032335,368.0
